# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
5.570000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.580000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.590000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.610000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.620000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.630000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.640000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.650000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.660000000000000000e+04 6.172839506172839164e-02 4.580246913580247048e-01 4.543209876543209957e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.670000000000000000e+04 6.172839506172839164e-02 4.555555555555555469e-01 4.567901234567900981e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.680000000000000000e+04 6.049382716049382658e-02 4.555555555555555469e-01 4.580246913580247048e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.690000000000000000e+04 6.049382716049382658e-02 4.555555555555555469e-01 4.580246913580247048e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+04 6.049382716049382658e-02 4.555555555555555469e-01 4.580246913580247048e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.710000000000000000e+04 6.049382716049382658e-02 4.530864197530864446e-01 4.604938271604938071e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.720000000000000000e+04 6.049382716049382658e-02 4.530864197530864446e-01 4.604938271604938071e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.730000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.740000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.750000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.760000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.770000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.780000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.790000000000000000e+04 6.049382716049382658e-02 4.506172839506172867e-01 4.629629629629629650e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+04 5.925925925925926152e-02 4.481481481481481288e-01 4.666666666666666741e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.810000000000000000e+04 5.925925925925926152e-02 4.481481481481481288e-01 4.666666666666666741e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.820000000000000000e+04 5.925925925925926152e-02 4.481481481481481288e-01 4.666666666666666741e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.830000000000000000e+04 5.925925925925926152e-02 4.481481481481481288e-01 4.666666666666666741e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
