# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
7.590000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.600000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.610000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.620000000000000000e+04 1.849999999999999978e-01 2.550000000000000044e-01 4.149999999999999800e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.630000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.640000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.650000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.660000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.670000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.680000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.690000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.700000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.710000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.720000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.730000000000000000e+04 1.809999999999999942e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.499999999999999833e-02
7.740000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.750000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.760000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.770000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.780000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.790000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.800000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.810000000000000000e+04 1.769999999999999907e-01 2.550000000000000044e-01 4.199999999999999845e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.820000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
